model,run_id,run_folder,case_label,problem_index,ground_truth,predicted,correct,status
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,1,140°,80,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,2,65°,65,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,3,55°,70,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,4,27°,144,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,7,45°,45,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,8,3cm,6.0,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,9,6cm,3,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,10,72°,90,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,11,84°,90,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,14,55°,110.0,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,16,25°,50,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,17,65°,65,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,20,20°,130,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,22,62°,76,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,25,65°,30,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,26,12,8.8,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,29,115°,30,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,30,60°,30,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,32,76°,74,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,34,80°,80,1,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,36,20°,50,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,37,25°,50,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,38,40°,70,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,40,50°,130,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,43,40°,80,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,44,9m,10,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,45,70°,110,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,46,110°,110,1,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,48,130°,50,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,49,100°,85,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,50,140°,130,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,53,55°,35,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,55,55°,70,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,56,40°,60,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,57,20°,60,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,58,55°,65,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,59,50°,60,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,60,45°,45,1,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,64,40cm,10,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,72,8cm,12,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,73,140°,110,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,78,125°,35,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,79,16cm,16,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,81,25°,25,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,84,√{3},sqrt(3),0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,86,2√{3},2,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,88,128°,62,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,95,30°,60.0,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,99,64°,62,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,108,8m,8,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,109,40°,130,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,112,2.4,2.4,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,114,\frac{1}{2}cm^{2},0.285,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,115,4πcm,12π,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,117,2√{2}cm,3\u221E,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,119,240cm^{2},24,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,120,9πcm^{2},20,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,123,15π,48π,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,128,4cm,72∞,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,132,10.2m,9.6,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,133,120m,120.0,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,149,\frac{20}{3},4.0,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,150,\frac{40}{7}m,6,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,151,5.1,6.8,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,152,4m,2.1,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,153,1.5m,3.3,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,157,\frac{3}{5},3/4,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,165,\frac{√{3}}{2},0.5,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,198,60,84.5,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,207,157.1,20.0,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,210,15,8,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,211,38,37,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,223,\sqrt{7},4,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,239,8,8,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,243,1591,808.75,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,257,15,8,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,264,60,60,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,281,0.38,0.38,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,327,11.8,10.7,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,348,285,198,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,364,74.85,74.86,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,365,23.9,16.2,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,420,8,6,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,432,8.246,5.000,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,438,\frac{(x+3)^2}{25}-\frac{(y+3)^2}{25}=1,x = (1/4)(y+3)^2 - 3,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,441,$\frac{4}{5}$,π/6,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,447,$\frac{20}{29}$,-1/29,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,449,$\frac{1}{x}$,2,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,457,$(x-1)^{2}+(y-3)^{2}=36$,(x - 1)^2 + (y - 3)^2 = 36,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,472,"(0,0)","(-2, 0)",0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,1,140°,80,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,2,65°,65,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,3,55°,35,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,4,27°,54,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,7,45°,45,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,8,3cm,7.0,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,9,6cm,12,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,10,72°,54,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,11,84°,90,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,14,55°,17.5,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,16,25°,50,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,17,65°,65,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,20,20°,130,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,22,62°,28,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,25,65°,100,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,26,12,8.8,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,29,115°,62.5,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,30,60°,60,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,32,76°,128,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,34,80°,80,1,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,36,20°,40,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,37,25°,50,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,38,40°,70,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,40,50°,20,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,43,40°,80,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,44,9m,1.333,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,45,70°,70,1,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,46,110°,110,1,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,48,130°,80,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,49,100°,85,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,50,140°,90,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,53,55°,65,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,55,55°,70,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,56,40°,30,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,57,20°,20,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,58,55°,65,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,59,50°,20,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,60,45°,45,1,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,64,40cm,40,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,72,8cm,16,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,73,140°,110,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,78,125°,35,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,79,16cm,16,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,81,25°,25,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,84,√{3},1,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,86,2√{3},4,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,88,128°,128,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,95,30°,135.0,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,99,64°,64,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,108,8m,8,1,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,109,40°,130,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,112,2.4,2.4,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,114,\frac{1}{2}cm^{2},0.2854,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,115,4πcm,24.57,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,117,2√{2}cm,2√2,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,119,240cm^{2},24,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,120,9πcm^{2},16π,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,123,15π,12π,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,128,4cm,6√3,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,132,10.2m,16.8,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,133,120m,120.0,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,149,\frac{20}{3},8,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,150,\frac{40}{7}m,6,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,151,5.1,6.8,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,152,4m,2.1,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,153,1.5m,1.5,1,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,157,\frac{3}{5},3/4,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,165,\frac{√{3}}{2},0.5,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,198,60,84.5,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,207,157.1,20.0,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,210,15,8,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,211,38,37,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,223,\sqrt{7},4,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,239,8,8,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,243,1591,738,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,257,15,8,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,264,60,60,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,281,0.38,0.12,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,327,11.8,10.7,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,348,285,198,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,364,74.85,74.86,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,365,23.9,16.1,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,420,8,6,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,432,8.246,6.481,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,438,\frac{(x+3)^2}{25}-\frac{(y+3)^2}{25}=1,x = (1/4)(y+3)^2 - 3,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,441,$\frac{4}{5}$,4/5,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,447,$\frac{20}{29}$,-1/29,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,449,$\frac{1}{x}$,2,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,457,$(x-1)^{2}+(y-3)^{2}=36$,(x - 1)^2 + (y - 3)^2 = 36,0,OK
google/gemma-3-4b-it,run-2,run-2,full_text + full_diagram,472,"(0,0)","(-2, 0)",0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,1,140°,80,0,OK
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,2,65°,65,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,3,55°,35,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,4,27°,18,0,OK
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,7,45°,45,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,8,3cm,5.0,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,9,6cm,12,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,10,72°,90,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,11,84°,90,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,14,55°,55.0,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,16,25°,50,0,OK
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,17,65°,65,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,20,20°,70,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,22,62°,28,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,25,65°,85,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,26,12,0.853,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,29,115°,62.5,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,30,60°,60,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,32,76°,108,0,OK
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,34,80°,80,1,OK
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,36,20°,50,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,37,25°,50,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,38,40°,70,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,40,50°,50,1,OK
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,43,40°,80,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,44,9m,10,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,45,70°,70,1,OK
google/gemma-3-4b-it,run-3,run-3,full_text + full_diagram,46,110°,110,1,OK
